,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
110,frozenset({4138348}),frozenset({4628597}),0.008934377562272047,0.06717747179733666,0.0014419406825185897,0.1613924050632911,2.40247810382304,0.0008417517858023018,1.1123468638190248
111,frozenset({4628597}),frozenset({4138348}),0.06717747179733666,0.008934377562272047,0.0014419406825185897,0.02146464646464646,2.40247810382304,0.0008417517858023018,1.0128051264137814
112,frozenset({4208011}),frozenset({4628597}),0.01885832225960587,0.06717747179733666,0.001922587576691453,0.10194902548725637,1.517607357937193,0.0006557331649516937,1.0387189086997937
113,frozenset({4628597}),frozenset({4208011}),0.06717747179733666,0.01885832225960587,0.001922587576691453,0.028619528619528618,1.517607357937193,0.0006557331649516937,1.0100487982284128
114,frozenset({4976322}),frozenset({4628597}),0.010743871752099296,0.06717747179733666,0.0012157539087901835,0.1131578947368421,1.6844619440014175,0.0004940077671693311,1.0518473611780774
115,frozenset({4628597}),frozenset({4976322}),0.06717747179733666,0.010743871752099296,0.0012157539087901835,0.018097643097643095,1.6844619440014175,0.0004940077671693311,1.0074893102087492
116,frozenset({5108107}),frozenset({4628597}),0.01198789900760553,0.06717747179733666,0.0012157539087901835,0.10141509433962263,1.5096592894352325,0.0004104371612974429,1.0381017111756672
117,frozenset({4628597}),frozenset({5108107}),0.06717747179733666,0.01198789900760553,0.0012157539087901835,0.018097643097643095,1.5096592894352325,0.0004104371612974429,1.0062223540325457
118,frozenset({6318344}),frozenset({4628597}),0.01492832706607481,0.06717747179733666,0.002063954310271707,0.13825757575757577,2.0580943589939804,0.001061107039809049,1.0824841645956182
119,frozenset({4628597}),frozenset({6318344}),0.06717747179733666,0.01492832706607481,0.002063954310271707,0.030723905723905723,2.0580943589939804,0.001061107039809049,1.0162962635219306
120,frozenset({4628597}),frozenset({7808101}),0.06717747179733666,0.010489411631654838,0.0015833074160988437,0.02356902356902357,2.2469347563687188,0.0008786552620426957,1.0133953267082707
121,frozenset({7808101}),frozenset({4628597}),0.010489411631654838,0.06717747179733666,0.0015833074160988437,0.15094339622641512,2.2469347563687188,0.0008786552620426957,1.0986576443275813
122,frozenset({4628597}),frozenset({8942943}),0.06717747179733666,0.006276682970963273,0.0013005739489383359,0.01936026936026936,3.0844746261412928,0.0008789222556756273,1.013341888953215
123,frozenset({8942943}),frozenset({4628597}),0.006276682970963273,0.06717747179733666,0.0013005739489383359,0.2072072072072072,3.0844746261412923,0.0008789222556756273,1.1766284162556322
124,frozenset({9277426}),frozenset({4628597}),0.019904436088099747,0.06717747179733666,0.0021205010037038084,0.10653409090909091,1.5858603793617998,0.0007833713097535977,1.0440493797371622
125,frozenset({4628597}),frozenset({9277426}),0.06717747179733666,0.019904436088099747,0.0021205010037038084,0.03156565656565656,1.5858603793617996,0.0007833713097535977,1.0120413124096805
126,frozenset({8718362}),frozenset({5528349}),0.015041420452939014,0.03228816194972999,0.0012723006022222851,0.08458646616541354,2.6197361837167352,0.0007866407826838092,1.0571307963916707
127,frozenset({5528349}),frozenset({8718362}),0.03228816194972999,0.015041420452939014,0.0012723006022222851,0.03940455341506129,2.619736183716735,0.0007866407826838092,1.0253625322176332
128,frozenset({8798636}),frozenset({5528349}),0.01198789900760553,0.03228816194972999,0.0033928016059260936,0.2830188679245283,8.765406602121402,0.003005734381331519,1.3497033530701135
129,frozenset({5528349}),frozenset({8798636}),0.03228816194972999,0.01198789900760553,0.0033928016059260936,0.10507880910683012,8.765406602121402,0.003005734381331519,1.104021349641208
130,frozenset({6032521}),frozenset({6062521}),0.0018943142299754022,0.002205321043851961,0.001413667335802539,0.7462686567164178,338.39456563337154,0.001409489764767506,3.932484911180112
131,frozenset({6062521}),frozenset({6032521}),0.002205321043851961,0.0018943142299754022,0.001413667335802539,0.641025641025641,338.39456563337154,0.001409489764767506,2.7804372675022107
132,frozenset({6032521}),frozenset({6072521}),0.0018943142299754022,0.002035680963555656,0.0012723006022222851,0.6716417910447762,329.93470149253733,0.0012684443828053316,3.03925497161099
133,frozenset({6072521}),frozenset({6032521}),0.002035680963555656,0.0018943142299754022,0.0012723006022222851,0.625,329.93470149253733,0.0012684443828053316,2.661615162053399
134,frozenset({6062521}),frozenset({6072521}),0.002205321043851961,0.002035680963555656,0.0016398541095309451,0.7435897435897435,365.2781339031339,0.001635364779463447,3.8920608442421316
135,frozenset({6072521}),frozenset({6062521}),0.002035680963555656,0.002205321043851961,0.0016398541095309451,0.8055555555555556,365.2781339031339,0.001635364779463447,5.1315154917744765
136,frozenset({6656135}),frozenset({7596135}),0.006220136277531171,0.0026294212445927227,0.0012440272555062342,0.2,76.06236559139785,0.0012276718970338318,1.246713223444259
137,frozenset({7596135}),frozenset({6656135}),0.0026294212445927227,0.006220136277531171,0.0012440272555062342,0.4731182795698924,76.06236559139784,0.0012276718970338318,1.8861536189018284
138,"frozenset({2726578, 3998011})",frozenset({3908011}),0.003081794792049535,0.006078769543950918,0.0018943142299754022,0.6146788990825688,101.11896735651803,0.001875580709652785,2.5794622409454604
139,"frozenset({2726578, 3908011})",frozenset({3998011}),0.002657694591308773,0.01272300602222285,0.0018943142299754022,0.7127659574468086,56.02182033096928,0.0018605003656849517,3.437186571626336
140,"frozenset({3998011, 3908011})",frozenset({2726578}),0.002431507817580367,0.014843507025926659,0.0018943142299754022,0.7790697674418605,52.4855592469546,0.0018582221266015525,4.45912938925107
141,frozenset({2726578}),"frozenset({3998011, 3908011})",0.014843507025926659,0.002431507817580367,0.0018943142299754022,0.12761904761904763,52.4855592469546,0.0018582221266015525,1.1435010008641273
142,frozenset({3998011}),"frozenset({2726578, 3908011})",0.01272300602222285,0.002657694591308773,0.0018943142299754022,0.1488888888888889,56.02182033096928,0.0018605003656849517,1.1718121081825352
143,frozenset({3908011}),"frozenset({2726578, 3998011})",0.006078769543950918,0.003081794792049535,0.0018943142299754022,0.3116279069767442,101.11896735651803,0.001875580709652785,1.4482257710791173
144,"frozenset({3524026, 3978011})",frozenset({3898011}),0.005654669343210156,0.011281065339704261,0.002855608018321129,0.505,44.76527568922306,0.0027918173239859525,1.9974119892127187
145,"frozenset({3524026, 3898011})",frozenset({3978011}),0.003477621646074246,0.03189233509570528,0.002855608018321129,0.8211382113821138,25.74719627515424,0.0027446985434484506,5.412601944692193
146,"frozenset({3978011, 3898011})",frozenset({3524026}),0.004693375554864429,0.03491758319432271,0.002855608018321129,0.608433734939759,17.424852446222136,0.0026917266869219496,2.46467201830373
147,frozenset({3524026}),"frozenset({3978011, 3898011})",0.03491758319432271,0.004693375554864429,0.002855608018321129,0.08178137651821862,17.424852446222136,0.0026917266869219496,1.0839538634830181
148,frozenset({3978011}),"frozenset({3524026, 3898011})",0.03189233509570528,0.003477621646074246,0.002855608018321129,0.08953900709219859,25.74719627515424,0.0027446985434484506,1.094525066001196
149,frozenset({3898011}),"frozenset({3524026, 3978011})",0.011281065339704261,0.005654669343210156,0.002855608018321129,0.2531328320802005,44.76527568922305,0.0027918173239859525,1.3313549897048964
